Verbatim,sentiment
İnternet hızını daha fazla olmalı,neutral
Kapsama alanlarını genisletme ve altyapı yi güçlendirmesi gerekir Çorum merkeze 18 km olmasına rağmen çekim çok zayıf İletişim gidip geliyor evlerde telefon sabit bir yerde olmayınca hiç konuşulmuyor Buna biran önce çare bulsunlar,negative
Çok yerlerde şebeke yok çok yerlerdede sinyal zayıf yani kaliteli görüşme yapamıyorum,negative
Konuşma esnasında bazen hat düşüyor,negative
Faturamı düşürün çok geliyor bana kampanya sunun,negative
İnternet hızını geliştirmeniz gerekiyor,neutral
Mesela YouTube da video izlerken 480p olarak takılmadan izleyebiliyorsun biraz daha yükseltince kaliteyi takılmalar oluyor izlenmiyo diğer operatör de son kalitede hiç takıntısız izlenebiliyor yani kısacası internet kalitesi sıkıntılı,negative
İnternet bazen çok yavaşlıyor,negative
Gerçeğiyle çok Güzel  Gayet Memnunum  ama Köyümün internet Çekim gücü Çok Yavaş  Hatta telefon şebekesi bile çekmemekte  Tuhaf olan ise  Evin damına çıkıp bir noktasında durduğum zaman iyi bir internet çekimine sahip olabiliyorum  Köyümün bağlı olduğu Baz İstasyonunda Bir güçlendirme yapılırsa  Köyümde olan insanların Tamamı vodafone Geçeceğine inandığım Ve inandığınız Herşey Üzerine Yemin Ederim  Lütfen bunu dikkate Alın  Lütfen _ BATMAN GERCÜŞ NURLU KÖYÜ,positive
Çekim gücü zayıf ve internet çekim gücü de zayıf,negative
Diyarbakır da şebeke iyi çekmiyor  Geliştirilmesi lazım  Gereğinin yapılmasını arz ederim,negative
bıktım artık konuşurken kopmalardan  defaten bildirmem rağmen iyleşme olmadı  yok 12 saniye iade edildi yok 24 saniye konuşma ide edildi felan ama düzltşn birrn önce,negative
İnternet girerken donuyoyor video oynatmakta zorlaniyor,negative
Telefonla konuşurkenbiranda hat kesiliyor ve telefon kapanıyor  Normal arama yapamıyorum doğru düzgün  En kısa zamanda yardımcı olursanız sevinirim teşekkürler,negative
Diğer firmaların en iyi çektiği yerlede dahi 360p den fazla video bile izlenmiyor Yanımda uygulaması bir çöp son gelen güncelleme ile zaten hiç açılmıyor Velhasıl denemek için aldığım vodafone hattımı son 10 gün kullanıyorum bunca zaman neden sizin firmanızı kullanmadığımı gayet iyi açıkladınız teşekkürler,negative
Bir çok yerde çekmiyor internet çekimi düşük,negative
Heryerde çekmiyor internet hızı diğer operatorlere göre düşük,negative
İzmir  menderes ilçesine bağlı köylerde genel olarak sıkıntı var bu sebeple diğer operatörlere geçen arkadaşlarım oldu,negative
4 5 g kullanıyorum ama video izleme hızı yavaş Donma oluyor Bazı yerlerde şebeke çekmiyor,negative
50 tllik faturaya 100 lira ödedim işe yaramaz çalışanlarınız yüzünden inşallah işleriniz bozulur,negative
Yaptığım şikayetlerin dikkate alınması ve altyapı çalışmalarını hızlandırmanız lazım,neutral
her yerde çeken kesintisiz bağlantı için daha kaliteli alt yapı çalışmaları yapılmalı Ve imaj tazelenmeli itibar kaybı çok,negative
Büyükagac koyunde telefon çekmiyor çatak van,negative
Faturalarınız çok pahalı rakip firma daha ucuz,negative
Fiyatlar çok pahalı aşırı,negative
İnternet hızı çok kötü mecburiyetten kullanıyorum,negative
Köy yakınlarında çekmiyor Adana Seyhan Gölbaşı ve Yolgeçen Köyleri arası Mecburen ayrılacam,negative
Köy bölgelerinde çekmiyor,negative
Tavsiyem faturasız hatlara yeni interneti bol kampanyalar istiyorum yoksa diğer şebekelere geçmeyi düşünüyorum arz ederim,neutral
3 katta oturdugum evimde telefonum Huawei p20 lite olmasına ragmen çekmiyor Babamdaki  vodafone hatıda çekmiyor  bu konuda herkes rahatsız,negative
Daha iyi bir çekim ve daha iyi bir alt yapı,neutral
Cekim gücü  zayıf   şebeke çekmiyor internetimi  kullanamıyorum şebeke çekmiyor,negative
Şebeke bizde kesinti oluyor internet sürekli kopuyor aramalarda ses bazen gidiyor mecbur tekrar aramak zorunda kalıyoruz yani bu kadar büyük bir firmada bunların yaşaması üzücü bir an evvel düzeltilmesi lazim,negative
Çekim gücü olarak yetersiz kalıyor merkezi yerlerde bile çekmiyor,negative
Mobil verinin biraz daha hızlı olması lazım,neutral
Kulada Yoresel olarak ve koylerde cekmesi digerlerine gore zayif,negative
Köylerde çekmiyor mahrumuz tire sarılar ödemiş çamyayla,negative
Köyüm dağlık ormanlık oralarda ne telefon ne Internet çekmiyor,negative
Kapsama alanı genişletilebilir,neutral
Hiç bir şekilde telefonum çekmiyor daha fazla kaliteli olabilir,negative
Kapsama alanını genişletin çekmiyor çoğu yerde,negative
Birazdaha uygun fiyatlar olsa daha iyi olacak saygilar,neutral
İnternet veri hızınız çok yavaş,negative
Kapsama Alanının genişletilmesi için baz istasyon ların çoğaltılması müşteri ihtiyaçlarına yönelik teknolojik alt yapı ve ayrıca Müşteri Şikayet ve sorun giderme konularında duyarsız ve ilgisiz kalınıyor geri dönüşler olmuyor,negative
Internet hizinin inanilmaz kotu Gunduz 8 bitlere kadar dusen bir internet hiziniz gece gayet hizli oluyor Ancak uykumda kullanamadigim icinbirisime yaramiyor vodafonedan memnunum tek sorun internet hizinizzz bunun acil duzeltilmesi lazimm tesekkurler,negative
çekmiyor çoğu yerde alt yapı güçlendirilsin,negative
Hattım iç mekanda çekmiyor internet çekmiyor konuşma yapamıyorum internete giriş yapamıyorum hattımla ilgili çekim gücü iyileştirme yapılıp düzeltilirse sevinirim hattımı iç mekan da kullanamıyorum,negative
Video da duraksama oluyor sonra şebeke problemi de var 2 dişin üstüne zor çıkıyor ve benim evin 6 katt internet hızı da hiç iyi değil acilen düzeltilmesi lazım Şu yazıyı yazarken bile internete duraksama oluyor,negative
İstanbulun göbeği üsküdar da bile çekmiyor aramalar da ses kesiliyor hat düşmüyor  Çok pişmanım vodafone kullandığıma,negative
Çekim gücü çok zayıf her yerde çekmiyor ilgilenirseniz sevinirim,negative
Alt yapı çalışmalarınız daha da geliştirmeli ben adıyaman turgut reis mah Kullanmaktayım ve il geneli de şebeke sorunu yaşıyorum,negative
Alt yapılardaki sorunların giderilmesi de sizlerin daga iyi bir çalışma yapıp şebeke hızve kesilmelerine çözüm üretecek kapasitede olduğunuz için sizin uzamanlarla bu tür sorunlara çözüm geliştirebilirsiniz İyi çalışmalar,neutral
İnternet hızınız güzel ama videolarda donma çok yaşanıyor hd kalitede bir video izlememiz çok zor ve antalya gibi büyük bir şekihir de mazidağı denilen yerleşim alanında şebeke sıfır 6 Katta dahi çekmiyor böyle giderse operatörümü değiştirmek zorunda kalıcam,negative
Şebeke çok kötü 4 5g var ama çekmiyor video donuyor ses kesintisi oluyor ve oyunlarda çok kasıyor,negative
hic çekmiyor surekli aramalarim kapaniyor karsi tarafin sesi gelmiyor hic çekmiyor__,negative
İnternet hızı ve Video izlenmelerde aksalıklar var çok donmalar yaşıyorum,negative
Alt yapı çalışmalarınızı bir an önce bitirdisenizde bizde sizde rahat etsek,neutral
İnternet zaman zaman çok yavaşlıyor,negative
Faturasız hatlar için daha az paket fiyatı verilmeli ve ben o yüzden kendime paket alamıyorum sadece konuşma paketi koysanız daha çok memnun kalırım ve herkese öneririm,neutral
İnternetden video seyrederken donuyor Normal arama yaparken arama kendiliğinden sonlanıyor,negative
İnternet hızınız yavaş düzeltirseniz çok memnun olurum Teşekkürler,neutral
Hattımı Turkcelle taşiyicam bok gibi iş yapıyor sunuz afedersinizde ek paket alıyorum ikidir gözükmüyor bide adam kekliyorsunuz çekmiyor internet falan da ha bide tarife mi istediğim zaman aktive edip yenileyebiliyordum oda kalkmış virüs çıkalı abarttınız iyice,negative
Telefon görüşmesi yaparken sürekli hat kesiliyor sonra tarafınızdan sn ye geri veriliyor ama ne çare,negative
Evde bile çekmiyor çok kötü,negative
Yeterli altyapı ve şebeke gücüne sahip olamadıgınızı dusunuyorum,negative
Kapsam alanı arttırılmalı mardinde yaşıyorum hala şebekenin çekmediği yerler var,negative
Şehir içinde bile çekmiyor telefon  aramalar kesilip duruyor  çoğu zaman hat düşmüyor,negative
Kapalı alanlarda internet hızı ciddi oranda düşüyor,negative
Mobil ağ çok kötü video izlenmiyor Surekli donuyor ve çok pişmanım geçiş yaptığım için,negative
İnternet hızı çok yavaş,negative
Köyde çekmiyor,negative
konusma sirasinda kapanıyor memnun değilim,negative
İnternet hızı geliştirilebilir video izlerken donmayabilir iç mekanlarda daha iyi çekebilir Bunların olması dahilinde herkese tavsiye edilir,neutral
Iğdır götürmez köyün de şebeke sıkıntımız var mesela köyümüzdebirverici olursa memnun oluruz modafonlu olarak,neutral
vodafone TV izlerken çok donma yapıyo olldugumuz yerde İnternet çok zayıf,negative
Ben 19 Mayıs ilçesinde çalışıyorum ilçe merkrzinde hat full çekmesine rağmen internet yavaş ve video izlerken sürekli donmalar oluyor kackere müşteri hizmetlerini aradım ama çözülmedi,negative
Köylerde kırsal kesimlerde hiç çekmiyor telefon şebeke yok baz istasyonu yok bence kırsal kesimlere daha çok yatırım yapılmalı,negative
Mukkenmel ama biraz cok bahali oldu icin biraz tarifeleri GB DK SMS yükseltip fiyatlari duruseniz hersey cok guzel olcak,neutral
Evim Tuzlanın merkezinde 2 katta ve görüşme yapmak için balkona çıkmak zorundayım  Zira evin içinde çekmiyor,negative
Bazen internette yavaşlama oluyor ve video izlerken duruyor,negative
vodafone nun sebekesi açik ve kapali alanlarca hic çekmiyor ben hic şebeke konusundan memnun degilim bunun bir an önce düzeltilmesini talep ediyorum,negative
çekmiyor işte çekse çok güzel,negative
Cogu yerde sebeke cekim sıkıntısı oluyor bir an önce düzeltilmeli,negative
Köylerde biraz daha iyileştirme yapılabilir çünkü çekmiyor,negative
Hattım 4 5 g full görünmesine rağmen video bile oynatamıyorum Berbat,negative
İnternet çekim hızı çok yavaş,negative
Bizim köyde şebeke çekmiyor Erzurum çat yayalasuyu köyü hacı Dursun Mezrası,negative
Altyapı ve arge çalışmalarına biraz daha fazla yatırım yapılmalı,neutral
Tarifeler çok pahalı _,negative
Hiç beğenmedim  çekim  gücü  zayıf  internet  sıkıntı,negative
Alt yapınız çok kötü kesinlikle çok pişmanım,negative
Benim faturam çok yüksek geliyor devreden tarife istedim bana yüksek tarifeli bir şey yapmışlar ondan hiç memnun değilim,negative
Hat dusmeden kapanıyor buna bı care bulmanız lazım hıc cekmıyor,negative
Konuştuğum sırada hat kesiliyor,negative
Alt yapisi olmayan yerler için internet kullanamıyoruz ne gibi çalışma yapmiyorsunuz,negative
İnternet hızınız çok düşük,negative
Alt yapısının güçlendirilmesi lazım,neutral
Alt yapınızın biraz daha düzelirse iyi olur diye düşünüyorum,neutral
İnternet aşırı derecede yavaş ve sürekli internet yok diyo,negative
Hattım çekmiyor cekim gucu bazı zaman ulaşamıyorum hattima,negative
Alt yapı çok zayıf biraz kalabalık olunca armalar ve internet kilit oluyor çöküyor yetersiz sanırım,negative
vodafone yeni yatırımlar yapıp alt yapısını güçlendirmesi gerekiyor yoksa abone kaybetmeye devam edecek,neutral
Kapsama alanı genisletmenizi Bazı bölgeler ile görüşme yapılamıyor Diğer operatörler ile görüşme yapılıyor,neutral
Lütfen Akpınar ın yöresinde kapsama alanını geliştirin,neutral
Video izlerken donma oluyor Daha iyisi olabilir,neutral
Köylerde ve benzeri alanda sebeke fazla çekmiyor o yuzden buralari da dikkate alıp daha iyi olabilir diye düşünüyorum,neutral
Hakkari merkezdeyim internet oda da çekmiyor videolari internet duraksamadan izlemek için 144p yapıyorum Lütfen bunabirçare bulun Başka bir hata geçiş yapmamı istemezsiniz sizde Teşekkür ederim,negative
Doğru dürüst çekmiyor internet hızı çok yavas,negative
Şebeke ve internet hızı çok düşük bunun geliştirilmesi gerekiyor,negative
Özelikle köyler de çekmiyor şebeke kime sorsam memnun degil şebekeden örnek kırşehir toklumenköyü cekim yok diyecek kadar az baz istasyonuz yok giderilirse özellikle köylerde cok güzel olur tesekkurler,negative
Ev içerisinde şebeke çok zayıf kalıyor ben 10 uncu katta oturuyorum,negative
Kapsama alanını genişletin yada daha genişbirbant ağı kullanın evin içinde telefonla konuşamıyorum,negative
Son zamanlarda internetim çok yavaş 30 saniyelik video izlemek için 5 dk beklediğim oluyor video falan 144 punto izliyorum zar zar ve her ay 150 200 tl fatura ödüyorum,negative
Köylerde bazı yerlerde çekmiyor çekmesi için yer değiştirme yapmak gerekiyor sabit durmak gerekiyor,negative
Diğer operatörden gelenlere fiyatlar ucuz ama daimi müşterilere kazık,negative
vodafone her yerde çekmez diyorlardı inanmıyordum ama öyleymiş  Çekim gücü çok zayıf,negative
Alt yapıyı güçlendir,neutral
Özellikle kasaba yada köy gibi mevkiilerde şebeke sorunu yaşıyoruz ve ormanlık alanlarda bu anketi hazırladığınız için teşekkür eder iyi çalışmalar dilerim,negative
Fatura biraz daha uygun olursa iyi olur,neutral
video izlerken takılmalar çok olabiliyor düzeltilirse çok iyi olur,neutral
Merhaba sayin vodafone ailesi normalde yozgat merkezde kaliyorum ama iş geregi mecbur köy e gidioz ama orda şebeke çekmiyor bu bizim icin çok büyük bir sıkıntı bu sorunun giderilmesini isdiyoruz,negative
Kastamonunun azdavay ilçesi kircalar köyü çömez mah olan memleketimde hiç çekmiyor Umarım bu sorunu dikkate alirsiniz,negative
Altyapı konusunda zayıf operatör interneti çok zayıf,negative
Bi paket bitmeye yakın uyarı bile yapmadan 50 ltllik faturayı 250 TL yaparak ve bana kullanımın bittiğine dair mesaj gelmeden nasıl böyle birşey olur size önerimbirpaket biterken mesaj atında insanlar mağdur olmasın,neutral
Fiyatlarıniz çok kötü ve pahalı internetten menmun degilim tahattutum bitti çok şükür ay ortasında taşıyacam hattımı vodafonede PİŞMANLIKTIR,negative
Gorusmelerim devamli olarak kesiliyor,negative
Kırsal bölgelerde telefonumuz çekmemektedir örnek Memleketim Sivas İmranlı Boğazören köyüne gittiğimde veya Aydın Paşa yaylasında telefonumuz çekmemektedir bu bölgelerde verici olmasının biz müşterilerinizi memnun edecektir iyi çalışmalar,negative
Alt yapınızı geliştirmeniz gerek,neutral
çekmiyor evimde ne telefon ne de internet,negative
İlk husuz alt yapi cok zayif yirmi yilikbirfadofon kulanicisi olarak cok uzuluyorum internek cok yavas ve kesintili hatda aramalarda cok kesiliyo,negative
Maltepe merkezde bahçe katında oturuyorum çekmiyor telefon evin içinde  büyük ihtimal başka firmaya geçicem,negative
Şebeke sorunu var yaşadığım bölgede çekim neredeyse yok denecek kadar az,negative
Fatura tutarlı biraz daha indirimli olabilir,neutral
Düzgün tarifler ek paketlerle idare edilir bir operatör haline getirin bari uygun fiyatlarla,neutral
Aşım paketi otomotik devreye geçmese iyi olur,neutral
Tarifeleri aşırı pahalı biraz ucuzlasın yoksa türk telekoma geçebilirim,negative
internet çok kötü bahçelievler de 4katta şebeke çekmiyor 33 liraya anlaştığım fatura 3ay sonra 36 oldu kesinlikle tavsiye etmem,negative
Sürekli hat düşüyor,negative
Fatura niye çok gelmiş,neutral
Her ay faturam ayrı yüksek böyle internet olmaz,negative
Çekim gücü az çekiyor birşey yüklerken saatlerce bekliyoruz,negative
Hat sürekli kesiliyor,negative
110 lira fatura ile başladım 235 lira en son fatura ödedim size o yüzden hiç memnun değilim,negative
Her yerde çekmiyor çekim daha güçlü olması lazım iş yerinde fabrikada bazı yerlerde tam çekmiyor,negative
Bazı yerlerde çekim yok internet yok çok düşük çekim yapan yerler var vodafone çekmediği yerde diğer operatör ler vızır vızır internette giriyor,negative
Paketleri biraz daha uygun fiyat yaparsanız daha iyi olur,neutral
Fiyatlarınızı düşürün biraz,neutral
Bizim evden net hiç çekmiyor  ne önerecek kimsede ilgilenmiyor bütün mahalle camdan konusuyoruz,negative
Alt yapıyı güçlendirebilirsiniz,neutral
Uygun ek paketler sunun dalga gecmeyin,neutral
Konuşurken sürekli kopuyor  ses kesiliyor  ses kalitesi çok kötü  Bir şekilde iyileştirme yapın artık,negative
Sinyal gücü zayıf  en yakın istasyona 500m mesafedeyim ama görüşmeler kesiliyor  işyerimde çekmeme sorunu oluyor,negative
Trakya bölgesinde çekim gücünüz çok kötü  Ne internet kullanılabiliyor ne de arama yapılabiliyor,negative
Faturasız tarifeler çok pahalı uzun süredir abone olanlara özel düşük tarifeler yapılabilir,negative
Lütfen fatura aşımını otomatik ek paket müşteriye sormadan ellemeyin 30 TL faturamı 47 TL ödüyorum,negative
Ev icinde oda oda dolasiyoruz telefon çekmesi icin,negative
Sebeke çekim hiç iyi değil internet berbat,negative
Hatta devamli kesilme oluyor ararken dusuyor,negative
Kampanyada Biz eski abonelerin Red li fiyatlarından ucuz kampanyalar konduğünda üzülüyorum Ayni indirimli fiyatların bize de yansıtılmasını arzu ediyorum,neutral
Internet cekim gucu cok iyi deqil sebeke bu aralar telefon ile konusurken kesiliyor,negative
Paketleriniz çok pahalı alt pakete geçemiyorum o yüzden hat değiştirecegim,negative
Faturalidan çıkma bedeli olmasa çok iyi olur istedigimiz zaman çıkabilmeliyiz aslında,neutral
Ben migros çalışanıyım bulunduğum mağazada telefon çekmiyor vodafonedan geldiler cekim gucunu artirmak icin bir alet bagladilar ondada arada bir cekiyo izmir bergamada migrosta calisiyorum,negative
Evde telefonu pencere kenarına birakmazsam şebeke çekmiyor   Çeken yerlerde de internet hızı çok düşük  Lütfen şu şebekeye bir çözüm getirin  Bazen internetten yararlanmak için soğuk günlerde dışari çıkmak zorunda kalıyorum  Sebeke ve internet çekecek diye hastalanıyorum   vodafone den başka bir operatöre geçiş yapmak istemiyorum  Ama bu sorunlar beni başka operatöre çekmek için zorluyor,negative
şebekeler sıfır aramalar yarıda kapanıyor,negative
Şebeke sıfır çekim gücü yok bazı yerlerde çekmiyor,negative
Tarifeler daha uygun fiyatlı olabilir,neutral
Alt yapınızı güçlendirin,neutral
Samsun ruh sağlığında çekmiyor altyapı yatırımı yapmalısınız,neutral
Alt yapı zayıf hiçbirşey çekmiyor,negative
Tarife ücretlerinde biraz indirim olsa daha iyi olur,neutral
Paket alıryorum bazen geliyor bazen gelmiyor,neutral
54 olan sabit faturam bu ay 250 tl geldi iki hattım var çikicam vodafonedan bugüne kadar boyle bir sey olmamisti internet aşiyorsa sabit fiyat garantisine noldu yaziklar olsun cok kisiye metetmistim vodafoneu simdi biraktiricam saygilar,negative
Intarnet paketim 10 gb ve surekli donuyo 4 gunde bitiyo bu yüzden hic memnun değilim ve ayrıca 10 gb internet yapiyosunuz faturasiza en fazla 10 gb millet daha cok internet istiyo faturaliya geciyo kazı atiyosunuz yok şunun aşımı yok bunun aşımı böyle devam ederseniz tüm müşterileri kaybedersiniz,negative
Evimin hiçbir köşesinde çekmiyor,negative
Heryerde çekmiyor internet çok çakı zayıf,negative
Evdeyken telefonum çekmiyor alt katta oturmuyorum yinede 1 dış falan zor çekiyor,negative
Paketlerde dakika süreleri yükseltilmesi lazım,neutral
Alt yapı heryerde olması ve güçlendirilmesi lazım,neutral
Şu an bulundugum yörede çok az çekim var bazı yerlerde çekim neredeyse hiç yok yakında diger şebekeden hat almayı düşünüyorum,negative
Çekim gücü iyi değil çekmiyor ses kalitesi iyi değil internet kullanımında sıkıntı çekiyorum,negative
Paket fiyatları yüksek,negative
Evimin salonunda çekmiyor telefon  Evi mi değiştirelim vodafoneu mu değiştirelim,negative
İç mekanlarda ve çevrede kesinlikle çekmiyor internet çekimi güçlendirilmeli,negative
Internet tarifeleriniz çok pahalı fiyatlar çok yuksek,negative
Tarife fiyatlarında kampanya yapılmalı,negative
Paketler ucuzlaştirilirsa iyi olur,neutral
Sürekli hat kesiliyor ve arama düşmeden Hat kesiliyor,negative
Evin farklı odalarına gecince çekim gücü azalıyor yada hiç çekmiyor,negative
çekmiyor  çoğu yerde çekmiyor   evde telefonla konuşabilmek için cama yapışıyoruz,negative
Merhaba benim bulunduğum çekmeköy merkez mahallesinde çekim gücü çok kötü evde tel ile konuşurken pencere kenarı konuşabiliyoruz,negative
Herzaman şebeke problemi var çekim düşük herzaman aynı şekilde devam ediyor,negative
Görüşme yaparken insanların yüzüne kapatmışcasına oluyor yani kesiliyor en rahatsız olduğum konu bu,negative
aramalarda sık sık görüşme kesiliyor,negative
Heryerde çekmiyor çekim gücü çok zayıf 4 5 G çeken yerde arkanı dönünce 3G çekiyor,negative
Evin içinde 3G bile zor çekiyor pencere dibinden ayrılamıyoruz millet 5G ye geçecek _,negative
Evimde vodafone net var ev için de dahi wifi çekim gücü düşük vodafone telim ise evde çekmiyor,negative
Evimde ne telefon çekiyor ne kendi internetim  Cama yapışık şekilde konuşmam gerekiyor ve hiç memnun değilim bu durumdan  Yakın zamanda düzeltilmesi dileğiyle,negative
Telefon görüşmelerim özellikle diğer vodafonelularla sık sık kesiliyor  Hiç memnun değilim,negative
Net bir adresler verebilirim ki istanbulda çekim probleminiz var ayrıca tam çekiyor dediğiniz bölgelerde de internet hızı düşüklüğü ölçümle gördüm,negative
Evimde odamda çekmiyır yeter artık ya,negative
Bulunduğum bölgede çekim gücü zayıf  Veri açıkken yer değiştirdiğimde eski çekim gücünden çekmeye çalışıyor ve internet gidiyor,negative
Evin içinde hiç çekmiyor ve çok yavaş geçtiğime pişman oldum,negative
Çoğunlukla çekmiyor  aramalar cok gec düsüyor,negative
Telefon görüşmelerim sürekli kesiliyor aramalar da sorun yaşıyorum,negative
Çekim alanı eskisi gibi değil  eskiden çeken yerde artık zor çekiyor,negative
Koskoca 1500 hanelik toki konutlarında evin içerisinde telefon görüşmesi yapamiyoruz  Ya balkona yada pencere dibine girmek zorunda kalıyoruz   vodafonea gectigime  eşim ve oglumuda gecirdigime pişmanım,negative
Çekim gücü çok kötü eskiden daha iyiydi internet hızınız daha da kötüleşti yaygınlaştıkça kalitesizleşmeye başladı umarım bir an evvel çözüm bulursunuz,negative
Evimde asla ve asla çekmiyor defalarca aramama ragmen herhangi bir iyilestirme yapilmadi,negative
Malesef evimde telefonum çekmiyor arayanlar ulaşamıyor  Telefonla konuşabilmek için balkona çıkmam gerekiyor  O bile sıkıntılı  Tek bende olsa cihazdan diye düşünürüm ama evdeki her telefon aynı malesef  Umarım kısa zamanda bu problem çözülür,negative
Görüşme yaparken hat kesiliyor çevremde kullanan diğer vodafone kullanıcıların da da aynı sorun var,negative
Çekim gücünü İstanbul dışında artirmalisiniz Ozellikle internet İstanbul dışında berbat,negative
Sürekli hattım kesiliyor konulmalarım yarıda kalıyor,negative
Hatlar hiçbiryerde çekmiyor çekim kalitesini arttırın,negative
Evin oturma odasında internetim normal çekiyor ama hemen yan odaya geçtiğimde orada hiç çekmiyor maalesef   Lütfen kısa sürede çözüme alınsın,negative
Yaklaşık 4 aydır bulunduğum yerde çekim gücü berbat,negative
Odamda çekmeyen bir Mobil hat kullanıyorum,negative
Evimde wifi kullanmak zorundayım internet çekmiyor,negative
Şebeke hiç bir yerde çekmiyor tambirrezalet siniz,negative
Kesinlikle çekim gücünden hiç memnun değilim,negative
Görüşme sırasında kopmalar oluyor  Dış mekanlarda çekmeyen yerler var,negative
Bulunduğum yerde Sebeke sorunu cok yasıyorum çekim gücü zayıf,negative
Konuşurken hat gidebiliyor  Karşıdakinin yüzüne kapanıyor  Konya merkezde olmama rağmen bu oluyor  Konuştuğum kişi vodafone müşterisi olsa bile oluyor,negative
Hatta sürekli kopmalar mevcut  İnternet hızı sürekli değişken ve pingli  Konuşma ise sürekli kopuyor sesim gitmiyor yada sesim gelmiyor  Yani gerçekten pişmanlıktan başka bir şey değil,negative
Arama bekletme hizmeti çalışmıyor  Başka bir arama geldiğinde görüşme de kapanıyor,negative
İnternette kopma oluyor görüşmelerde kesintiler oluyor,negative
Şebeke çekim gücü arttırılabilir Şebeke çekiyor gözükürken bile konuşamıyorum En merkezi yerde bile arada şebeke sıkıntısı yaşıyorum Bunun iyileştirilmesini istiyorum,negative
Arama esnasında sürekli arama düşüyor  Görüşmenin ortasında telefon kapanıyor,negative
Son günlerde arama konuşmam sık sık kopuyor  Hiç memnun değilim  İki aydır çok sorun yaşıyorum,negative
Telefon görüşmelermimi bulundugum yerden kesintisiz yapamıyorum hiç kimse ile düzgün bir şekilde konuşma sağlayamıyorum en hızlı şekilde iyileştirilmesini talep ediyorum,negative
Kapsama gücü çok zayıf aşırı derecede iyileştirme yapıması gerekiyor  Bulunduğum bölgede çoğu yerde şebeke bile yok,negative
Birden görüşme bazen aniden kesiliyor    Hatlardan olduğunu düşünüyorum,negative
Çanakkale gibi bir yerde görüşme 10 saniyede bir kesilebilir mi,negative
Şebeke çekim gücü az internet bağlantılarında da düşük güçlendirilmesi lazım  Her bir iki ayda bir kullanıcıların internet ve şebeke ayarları otomatik güncellenmeli  Şikayet olması beklenmemeli Arama yönlendirme gibi bazı ayarlar açılmamalı kullanıcıya bırakılmalı,negative
Sürekli olarak telefonla konuşma esnasında hat kesiliyor ve telafi dakika tarafıma tanımlanıyor  Bu sorun sadece Volte yü kapattığımda çözülüyor,negative
Çekim gücü çok kısıtlı çoğu yerde ne internetnede görüşme yapılamıyor bu durumu duzeltirseniz çok iyi olacak,negative
Bu aralar sürekli kapanıp duruyor,negative
Daha öncede şikayetimi belirttim yine aynı şekilde çekim kalitesinden hiç memnun değilim,negative
telefon birisiyle konuşurken son altı aydır kapanıyor Bıktım artık rezil olmaktan,negative
Telefon ile konuşurken şebeke çekmiyor  Çektiği zaman ise görüşme yarıda kalıyor  aniden görüşme kesiliyor  İnternette aynı şekilde çok zor çekiyor  Gereğinin en kısa zamanda yapılmasını rica ediyorum,negative
Sürekli çekmiyor  birisiyle konuşurken habire kapanıyor telefon  telefon ve internet çekimi çok düşük  kusura bakmayın ama çok gelişmeniz lazım  eksik olan birşeyler var bilginize,negative
İzmir Ege bölgesi sanayi odasından çekmiyor  Arama başarısız oluyor aramalar yarıda kesiliyor sesler kopuk kopuk geliyor,negative
Bulunduğumuz mevkiide çekim kuvveti düşük olması sebebiyle bazı zorluklar çekiyoruz çekim kuvvetini artırmak için elimizden geleni yapmanızı rica ederim,negative
Hiç bir yerde şebeke doğru dürüst şebeke çekmiyorn hattınız eski değiştirinm denildi değiştirdim yine aynı arama yapıyorum hep arama reddedildi bağlantı hatasım diyor dıt dıt dıt edip kapanıyor acil aramam gereken yerler oluyor beni rezil ediyor ulaşmak istediğim bana ulaşamıyor ulaşmak istediğime ben ulaşamıyorum,negative
Telefon konuşmalarımda sürekli call failed yazıp telefon kapanıyor   sürekli çekmeyen bir yerdesin diye karşı taraftan uyarılar alıyorum   internet te video izlerken kopmalar beklemeler oluyor,negative
İstanbul da çekmiyor telefon  internet sürekli kopuyor   servis yok yazıyor hat tamamen kapanıyor   Bir süre sonra kendiliğinden geliyor  Çok sıkıntı yaşıyorum  İlk fırsatta başka op  Geçeceğim,negative
Şebeke çekmiyor bazen 4g cekimden 3g ye düşüyor,negative
Hat düşmesi çok fazla gecikiyor Hat düştükten sonra görüşme sırasında pek problem yaşanmıyor ancak görüşme halindeyken yer değiştirme esnasında kopukluklar yaşanabiliyor,negative
Yuksek ve ic kesimlerdee hatt çekmiyor arayana ulasamiyoruz bizi arayanlar ulasamiyor sebeke dusmuyorrr cekim kalitesi sifiirrrrrr duzeltin lanet sebekenizi,negative
15 yıldır kullanıyorum memnunum,positive
Şu an için gayet güzel memnunum Şayet memnun olmasaydım yıllarca Abone olarak kalmazdım,positive
Evet çok memnunum herkese tavsiye ediyorum,positive
Güzel memnunum şebeke cekisi güzel herşey güzel,positive
Harika,positive
Çok güzel çekiyor,positive
Çok güzel,positive
Fevkalade güzel,positive
Bazı alanlarda gayet güzel çok memnun oluyruruz bazı yerlerde görüşmelerde çok zorluk cekiyoruz tüm alanda güçlendirilirse başka hiç bir soronumuz yok teşekkür ederiz,positive
Baya iyi,positive
herkese tavsiye ederim çok güzel,positive
Gerçekten iyi vodafone,positive
Harika daha ne diyeyim,positive
